language,state,count_2021,australia_total_count_2021
Not stated,New South Wales,468099,1455423
Not stated,Victoria,341903,1455423
Not stated,Queensland,323054,1455423
Not stated,South Australia,81275,1455423
Not stated,Western Australia,168204,1455423
Not stated,Tasmania,29004,1455423
Not stated,Northern Territory,24007,1455423
Not stated,Australian Capital Territory,18982,1455423
Mandarin,New South Wales,270685,685274
Mandarin,Victoria,221798,685274
Mandarin,Queensland,83607,685274
Mandarin,South Australia,32133,685274
Mandarin,Western Australia,51751,685274
Mandarin,Tasmania,8129,685274
Mandarin,Northern Territory,2526,685274
Mandarin,Australian Capital Territory,14397,685274
Arabic,New South Wales,227243,367159
Arabic,Victoria,91441,367159
Arabic,Queensland,16171,367159
Arabic,South Australia,11033,367159
Arabic,Western Australia,16000,367159
Arabic,Tasmania,972,367159
Arabic,Northern Territory,427,367159
Arabic,Australian Capital Territory,3867,367159
Vietnamese,New South Wales,117907,320758
Vietnamese,Victoria,118801,320758
Vietnamese,Queensland,31370,320758
Vietnamese,South Australia,21855,320758
Vietnamese,Western Australia,22763,320758
Vietnamese,Tasmania,1467,320758
Vietnamese,Northern Territory,1565,320758
Vietnamese,Australian Capital Territory,5028,320758
Cantonese,New South Wales,148943,295281
Cantonese,Victoria,82432,295281
Cantonese,Queensland,27437,295281
Cantonese,South Australia,10166,295281
Cantonese,Western Australia,19683,295281
Cantonese,Tasmania,1536,295281
Cantonese,Northern Territory,803,295281
Cantonese,Australian Capital Territory,4230,295281
Punjabi,New South Wales,53460,239033
Punjabi,Victoria,104949,239033
Punjabi,Queensland,30873,239033
Punjabi,South Australia,20004,239033
Punjabi,Western Australia,20613,239033
Punjabi,Tasmania,2556,239033
Punjabi,Northern Territory,1563,239033
Punjabi,Australian Capital Territory,5019,239033
Greek,New South Wales,78691,229643
Greek,Victoria,107158,229643
Greek,Queensland,10475,229643
Greek,South Australia,21882,229643
Greek,Western Australia,4520,229643
Greek,Tasmania,1126,229643
Greek,Northern Territory,3258,229643
Greek,Australian Capital Territory,2527,229643
Italian,New South Wales,64039,228042
Italian,Victoria,92320,228042
Italian,Queensland,17989,228042
Italian,South Australia,23828,228042
Italian,Western Australia,25432,228042
Italian,Tasmania,954,228042
Italian,Northern Territory,668,228042
Italian,Australian Capital Territory,2816,228042
Hindi,New South Wales,80051,197132
Hindi,Victoria,66930,197132
Hindi,Queensland,21344,197132
Hindi,South Australia,9884,197132
Hindi,Western Australia,11896,197132
Hindi,Tasmania,1284,197132
Hindi,Northern Territory,969,197132
Hindi,Australian Capital Territory,4769,197132
Spanish,New South Wales,71868,171370
Spanish,Victoria,43181,171370
Spanish,Queensland,29642,171370
Spanish,South Australia,7273,171370
Spanish,Western Australia,12958,171370
Spanish,Tasmania,1571,171370
Spanish,Northern Territory,748,171370
Spanish,Australian Capital Territory,4122,171370
Nepali,New South Wales,68148,133068
Nepali,Victoria,21955,133068
Nepali,Queensland,12060,133068
Nepali,South Australia,9671,133068
Nepali,Western Australia,5038,133068
Nepali,Tasmania,7248,133068
Nepali,Northern Territory,3099,133068
Nepali,Australian Capital Territory,5859,133068
Tagalog,New South Wales,51616,131195
Tagalog,Victoria,29044,131195
Tagalog,Queensland,20603,131195
Tagalog,South Australia,6433,131195
Tagalog,Western Australia,17313,131195
Tagalog,Tasmania,820,131195
Tagalog,Northern Territory,3047,131195
Tagalog,Australian Capital Territory,2278,131195
Korean,New South Wales,62319,115531
Korean,Victoria,16802,115531
Korean,Queensland,21904,115531
Korean,South Australia,3695,115531
Korean,Western Australia,6970,115531
Korean,Tasmania,689,115531
Korean,Northern Territory,351,115531
Korean,Australian Capital Territory,2809,115531
Urdu,New South Wales,46618,111873
Urdu,Victoria,38084,111873
Urdu,Queensland,7675,111873
Urdu,South Australia,5039,111873
Urdu,Western Australia,8439,111873
Urdu,Tasmania,1492,111873
Urdu,Northern Territory,879,111873
Urdu,Australian Capital Territory,3638,111873
Tamil,New South Wales,38446,95404
Tamil,Victoria,34123,95404
Tamil,Queensland,7336,95404
Tamil,South Australia,3342,95404
Tamil,Western Australia,8738,95404
Tamil,Tasmania,461,95404
Tamil,Northern Territory,544,95404
Tamil,Australian Capital Territory,2417,95404
Filipino,New South Wales,30853,90853
Filipino,Victoria,23611,90853
Filipino,Queensland,14698,90853
Filipino,South Australia,4775,90853
Filipino,Western Australia,12501,90853
Filipino,Tasmania,618,90853
Filipino,Northern Territory,2101,90853
Filipino,Australian Capital Territory,1683,90853
Sinhalese,New South Wales,13570,85869
Sinhalese,Victoria,49501,85869
Sinhalese,Queensland,7957,85869
Sinhalese,South Australia,4227,85869
Sinhalese,Western Australia,6340,85869
Sinhalese,Tasmania,1114,85869
Sinhalese,Northern Territory,989,85869
Sinhalese,Australian Capital Territory,2178,85869
Gujarati,New South Wales,26857,81334
Gujarati,Victoria,24181,81334
Gujarati,Queensland,9795,81334
Gujarati,South Australia,7412,81334
Gujarati,Western Australia,10105,81334
Gujarati,Tasmania,756,81334
Gujarati,Northern Territory,474,81334
Gujarati,Australian Capital Territory,1761,81334
Malayalam,New South Wales,20890,78738
Malayalam,Victoria,25342,78738
Malayalam,Queensland,13003,78738
Malayalam,South Australia,4809,78738
Malayalam,Western Australia,9697,78738
Malayalam,Tasmania,615,78738
Malayalam,Northern Territory,1601,78738
Malayalam,Australian Capital Territory,2767,78738
Indonesian,New South Wales,32303,73179
Indonesian,Victoria,17877,73179
Indonesian,Queensland,5815,73179
Indonesian,South Australia,1809,73179
Indonesian,Western Australia,12444,73179
Indonesian,Tasmania,414,73179
Indonesian,Northern Territory,1295,73179
Indonesian,Australian Capital Territory,1208,73179
